date, pm10, o3, no2, so2, co
2021/4/12, 15, 29, 26, , 
2021/4/13, 17, 30, 23, , 
2021/4/14, 20, 33, 25, , 
2021/4/15, 22, 30, 19, , 
2021/4/16, 15, 30, 22, , 
2021/4/17, 22, 24, 17, , 
2021/4/18, 22, 27, 24, , 
2021/4/19, 26, 29, 27, , 
2021/4/20, 29, 38, 27, , 
2021/4/21, 25, 37, 31, , 
2021/4/22, 27, 38, 31, , 
2021/4/23, 23, 43, 32, , 
2021/4/24, 26, 40, 21, , 
2021/4/25, 23, 40, 13, , 
2021/4/26, 16, 39, 13, , 
2021/4/27, 20, 45, 21, , 
2021/4/28, 27, 36, 31, , 
2021/4/29, 22, 35, 17, , 
2021/4/30, 23, 28, 13, , 
2021/3/1, 17, 14, 30, , 
2021/3/2, 41, 15, 38, , 
2021/3/3, 49, 26, 33, , 
2021/3/4, 43, 22, 12, , 
2021/3/5, 21, 28, 10, , 
2021/3/6, 11, 22, 22, , 
2021/3/7, 25, 28, 23, , 
2021/3/8, 27, 25, 23, , 
2021/3/9, 28, 18, 28, , 
2021/3/10, 37, 30, 21, , 
2021/3/11, 16, 29, 20, , 
2021/3/12, 12, 32, 11, , 
2021/3/13, 8, 32, 12, , 
2021/3/14, 5, 21, 22, , 
2021/3/15, 9, 25, 22, , 
2021/3/16, 16, 24, 26, , 
2021/3/17, 16, 24, 26, , 
2021/3/18, 22, 27, 24, , 
2021/3/19, 20, 22, 20, , 
2021/3/20, 19, 24, 15, , 
2021/3/21, 21, 18, 25, , 
2021/3/22, 34, 18, 28, , 
2021/3/23, 38, 22, 36, , 
2021/3/24, 38, 27, 34, , 
2021/3/25, 30, 16, 28, , 
2021/3/26, 31, , , , 
2021/2/1, 15, 22, 24, , 
2021/2/2, 8, 30, 20, , 
2021/2/3, 10, 28, 23, , 
2021/2/4, 21, 13, 26, , 
2021/2/5, 31, 5, 16, , 
2021/2/6, 29, 4, 12, , 
2021/2/7, 21, 24, 27, , 
2021/2/8, 21, 16, 18, , 
2021/2/9, 31, 19, 19, , 
2021/2/10, 30, 24, 23, , 
2021/2/11, 19, 26, 14, , 
2021/2/12, 18, 28, 10, , 
2021/2/13, 21, 25, 14, , 
2021/2/14, 29, 21, 32, , 
2021/2/15, 68, 21, 34, , 
2021/2/16, 24, 25, 30, , 
2021/2/17, 30, 17, 25, , 
2021/2/18, 25, 18, 27, , 
2021/2/19, 22, 20, 21, , 
2021/2/20, 28, 12, 17, , 
2021/2/21, 32, 5, 17, , 
2021/2/22, 35, 12, 35, , 
2021/2/23, 60, 15, 33, , 
2021/2/24, 74, 15, 37, , 
2021/2/25, 80, 25, 29, , 
2021/2/26, 69, 26, 12, , 
2021/2/27, 21, 27, 12, , 
2021/2/28, 15, 26, 18, , 
2021/1/4, 33, 10, 23, , 
2021/1/5, 37, 9, 16, , 
2021/1/6, 30, 5, 21, , 
2021/1/7, 18, 14, 23, , 
2021/1/8, 23, 12, 16, , 
