date, pm10, o3, no2, so2, co
2021/4/12, 5, 29, 9, , 
2021/4/13, 10, 30, 11, , 
2021/4/14, 10, 33, 11, , 
2021/4/15, 12, 30, 8, , 
2021/4/16, 10, 30, 7, , 
2021/4/17, 13, 24, 6, , 
2021/4/18, 17, 27, 13, , 
2021/4/19, 16, 29, 11, , 
2021/4/20, 18, 38, 13, , 
2021/4/21, 16, 37, 10, , 
2021/4/22, 16, 38, 13, , 
2021/4/23, 14, 43, 13, , 
2021/4/24, 18, 40, 7, , 
2021/4/25, 16, 40, 6, , 
2021/4/26, 14, 39, 6, , 
2021/4/27, 25, 45, 9, , 
2021/4/28, 23, 36, 8, , 
2021/4/29, 12, 35, 6, , 
2021/4/30, 14, 28, 4, , 
2021/3/1, 13, 14, 18, , 
2021/3/2, 25, 15, 27, , 
2021/3/3, 33, 9, 19, , 
2021/3/4, 21, 24, 7, , 
2021/3/5, 10, 28, 5, , 
2021/3/6, 8, 22, 10, , 
2021/3/7, 18, 28, 12, , 
2021/3/8, 16, 25, 11, , 
2021/3/9, 18, 18, 13, , 
2021/3/10, 24, 30, 9, , 
2021/3/11, 6, 29, 6, , 
2021/3/12, 5, 32, 4, , 
2021/3/13, 4, 32, 4, , 
2021/3/14, 3, 21, 9, , 
2021/3/15, 5, 25, 7, , 
2021/3/16, 8, 24, 10, , 
2021/3/17, 7, 24, 8, , 
2021/3/18, 10, 27, 8, , 
2021/3/19, 9, 26, 5, , 
2021/3/20, 7, 25, 6, , 
2021/3/21, 11, 25, 9, , 
2021/3/22, 14, 25, 13, , 
2021/3/23, 18, 28, 20, , 
2021/3/24, 18, 33, 14, , 
2021/3/25, 14, 37, 18, , 
2021/3/26, 19, 32, 7, , 
2021/3/27, 8, 36, 8, , 
2021/3/28, 9, 38, 16, , 
2021/3/29, 17, 37, 18, , 
2021/3/30, 27, 38, 20, , 
2021/3/31, 28, 43, 11, , 
2021/2/1, 11, 22, 10, , 
2021/2/2, 2, 30, 10, , 
2021/2/3, 5, 28, 8, , 
2021/2/4, 8, 13, 15, , 
2021/2/5, 19, 5, 13, , 
2021/2/6, 23, 4, 8, , 
2021/2/7, 17, 24, 11, , 
2021/2/8, 6, 16, 12, , 
2021/2/9, 17, 19, 10, , 
2021/2/10, 22, 24, 11, , 
2021/2/11, 13, 26, 9, , 
2021/2/12, 12, 28, 6, , 
2021/2/13, 14, 25, 10, , 
2021/2/14, 18, 21, 20, , 
2021/2/15, 32, 21, 17, , 
2021/2/16, 10, 25, 13, , 
2021/2/17, 13, 17, 16, , 
2021/2/18, 14, 18, 14, , 
2021/2/19, 12, 20, 12, , 
2021/2/20, 18, 12, 13, , 
2021/2/21, 24, 5, 12, , 
2021/2/22, 24, 12, 24, , 
2021/2/23, 45, 15, 22, , 
2021/2/24, 59, 15, 22, , 
2021/2/25, 63, 25, 13, , 
2021/2/26, 55, 26, 5, , 
2021/2/27, 14, 27, 6, , 
2021/2/28, 12, 26, 10, , 
2021/1/4, 17, 10, 12, , 
2021/1/5, 18, 9, 11, , 
2021/1/6, 18, 7, 12, , 
2021/1/7, 10, 14, 11, , 
2021/1/8, 10, 12, 10, , 
2021/1/9, 13, 8, 13, , 
2021/1/10, 18, 4, 20, , 
2021/1/11, 26, 25, 10, , 
2021/1/12, 10, 24, 10, , 
2021/1/13, 7, 22, 10, , 
2021/1/14, 5, 11, 15, , 
2021/1/15, 16, 15, 11, , 
2021/1/16, 16, 14, 12, , 
2021/1/17, 12, 24, 10, , 
2021/1/18, 5, 29, 12, , 
2021/1/19, 5, 23, 21, , 
2021/1/20, 16, 21, 25, , 
2021/1/21, 28, 21, 17, , 
2021/1/22, 15, 21, 9, , 
2021/1/23, 9, 28, 6, , 
2021/1/24, 6, 16, 15, , 
2021/1/25, 10, 26, 7, , 
2021/1/26, 7, 21, 16, , 
2021/1/27, 7, 19, 10, , 
2021/1/28, 3, 27, 5, , 
2021/1/29, 3, 27, 4, , 
2021/1/30, 4, 18, 5, , 
2021/1/31, 12, 22, 11, , 
2020/10/1, 12, 21, 11, , 
2020/10/2, 10, 30, 4, , 
2020/10/3, 5, 28, 7, , 
2020/10/4, 4, 18, 11, , 
2020/10/5, 6, 17, 8, , 
2020/10/6, 7, 20, 6, , 
2020/10/7, 4, 22, 9, , 
2020/10/8, 5, 19, 10, , 
2020/10/9, 11, 17, 8, , 
2020/10/10, 8, 23, 5, , 
2020/10/11, 4, 14, 10, , 
2020/10/12, 9, 11, 14, , 
