date, pm10, o3, no2, so2, co
2021/4/12, 4, 30, 6, , 
2021/4/13, 8, 32, 7, , 
2021/4/14, 8, 35, 8, , 
2021/4/15, 12, 31, 8, , 
2021/4/16, 14, 29, 6, , 
2021/4/17, 16, 24, 4, , 
2021/4/18, 16, 29, 8, , 
2021/4/19, 15, 30, 8, , 
2021/4/20, 16, 41, 8, , 
2021/4/21, 15, 38, 7, , 
2021/4/22, 18, 36, 10, , 
2021/4/23, 14, 43, 10, , 
2021/4/24, 21, 39, 6, , 
2021/4/25, 15, 39, 5, , 
2021/4/26, 12, 39, 4, , 
2021/4/27, 19, 45, 6, , 
2021/4/28, 20, 39, 4, , 
2021/4/29, 9, 35, 4, , 
2021/4/30, 13, 27, 3, , 
2021/3/1, 12, 14, 13, , 
2021/3/2, 23, 16, 19, , 
2021/3/3, 30, 25, 13, , 
2021/3/4, 26, 23, 4, , 
2021/3/5, 11, 28, 4, , 
2021/3/6, 5, 24, 7, , 
2021/3/7, 19, 28, 8, , 
2021/3/8, 17, 27, 7, , 
2021/3/9, 15, 20, 8, , 
2021/3/10, 25, 32, 6, , 
2021/3/11, 4, 31, 2, , 
2021/3/12, 4, 33, 1, , 
2021/3/13, 3, 33, 1, , 
2021/3/14, 3, 23, 5, , 
2021/3/15, 3, 26, 5, , 
2021/3/16, 5, 26, 7, , 
2021/3/17, 8, 26, 6, , 
2021/3/18, 11, 27, 5, , 
2021/3/19, 8, 26, 4, , 
2021/3/20, 7, 27, 4, , 
2021/3/21, 10, 28, 6, , 
2021/3/22, 14, 26, 9, , 
2021/3/23, 17, 29, 14, , 
2021/3/24, 19, 36, 10, , 
2021/3/25, 15, 40, 12, , 
2021/3/26, 25, 34, 4, , 
2021/3/27, 7, 38, 5, , 
2021/3/28, 9, 40, 11, , 
2021/3/29, 17, 37, 12, , 
2021/3/30, 23, 39, 14, , 
2021/3/31, 27, 45, 9, , 
2021/2/1, 14, 24, 5, , 
2021/2/2, 1, 33, 7, , 
2021/2/3, 2, 30, 5, , 
2021/2/4, 5, 13, 13, , 
2021/2/5, 14, 5, 11, , 
2021/2/6, 22, 4, 7, , 
2021/2/7, 16, 25, 7, , 
2021/2/8, 4, 18, 7, , 
2021/2/9, 15, 19, 8, , 
